pmcid,doi,title,journal,pubdate,pub_year,criteria_era,article_type_inferred,included,exclusion_reason,num_patients,age_numeric,age_descriptive,age_original_quote,age_range_mapped,age_midpoint_for_analysis,age_group,age_unit_original,sex,has_eds,has_pots,has_mcas,has_mastocytosis,triad_present,diagnostic_criteria_cited,beighton_score,symptoms_detected,terminology_used,extraction_method,extraction_date,eds_subtype,has_heds,has_non_heds_eds,eds_negated
PMC11421124,10.1186/s13023-024-03261-3,Functional benefit of joint surgery in patients with non-vascular Ehlers-Danlos syndrome: results of a retrospective study.,Orphanet J Rare Dis,2024 Sep 23,2024,post-2017 (2017 international classification),clinical_study,True,,69,60,,"Study populationThe inclusion criteria were: patient ≥ 18 years of age, with a confirmed diagnosis of EDS (according to the 2017 classification of EDS) and having undergone surgery on at least one of the following joints: shoulder, elbow, wrist, knee or ankle.",,60,older adult (60-74),years,female,True,False,False,False,False,2017 international classification; Beighton,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; fatigue; neuropathy,hEDS; hypermobile EDS; JHS,rule_based_v3,2026-04-16T20:47:59.544743,hEDS_HSD,True,False,False
PMC11410636,10.3389/fneur.2024.1455498,Long COVID and hypermobility spectrum disorders have shared pathophysiology.,Front Neurol,2024,2024,post-2017 (2017 international classification),case_report,True,,100,50,,"Criterion 1: Generalized joint hypermobility-Beighton score of ≥6 for pre-pubertal children and adolescents, ≥5 for pubertal men and women up to the age of 50 years, and ≥4 for those >50 years of ageCriterion 2: Two or more of the following features (A-C) must be presentFeature A: Systemic manifesta...",,50,middle aged (45-59),years,female,True,True,False,False,False,2017 international classification,,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; tachycardia; skin_hyperextensibility; fatigue; neuropathy; mitral_valve_prolapse,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia; MCAD,rule_based_v3,2026-04-16T20:47:59.607736,hEDS_HSD,True,False,False
PMC11365123,10.1186/s13256-024-04628-7,Multiple dermatofibromas in a patient with Ehlers-Danlos syndrome: a case report.,J Med Case Rep,2024 Aug 31,2024,post-2017 (2017 international classification),case_report,True,,1,18,,Case presentationAn 18-year-old Iranian woman presented with multiple purple nodules ranging from 0.,,18,young adult (18-29),years,female,True,False,False,False,False,2017 international classification; Beighton,,joint_hypermobility; skin_hyperextensibility; easy_bruising,EDS hypermobility type; hEDS; hypermobile EDS; JHS; HSD,rule_based_v3,2026-04-16T20:47:59.631243,hEDS_HSD,True,False,False
PMC11341037,10.1371/journal.pone.0307442,Investigation of dermal collagen nanostructures in Ehlers-Danlos Syndrome (EDS) patients.,PLoS One,2024,2024,post-2017 (2017 international classification),review_or_study,True,,1,38,,"3 (labeled as hEDS throughout the paper)A 38-year-old woman with a history of multi-joint hypermobility, recurrent subluxation of both hips and knees, stretchy skin with easy bruising, chronic pains, orthostatic intolerance, migraines, and irritable bowel syndrome was referred to the GoodHope EDS cl...",,38,adult (30-44),years,female,True,False,False,False,False,2017 international classification; Villefranche; Beighton,5,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; skin_hyperextensibility; easy_bruising; fatigue; headache_migraine,hEDS; hypermobile EDS; JHS,rule_based_v3,2026-04-16T20:47:59.687076,hEDS_HSD,True,False,False
PMC11109350,10.1016/j.jor.2024.05.009,The relationship between joint hypermobility and patellar instability: A systematic review.,J Orthop,2024 Oct,2024,post-2017 (2017 international classification),clinical_study,True,,391,,child,,3-12 years,7.5,childhood (5-11),years,female,True,False,False,False,False,Beighton,4,joint_hypermobility; subluxations_dislocations,hypermobile EDS; JHS,rule_based_v3,2026-04-16T20:47:59.823654,hEDS_HSD,True,False,False
PMC11268287,10.1177/21925682231151924,Outcomes Following Anterior Cervical Discectomy and Fusion in Patients With Ehlers-Danlos Syndrome.,Global Spine J,2024 Jul,2024,post-2017 (2017 international classification),animal_study,True,,533,84,,"Study PopulationThe study population included patients 18-84 years of age who underwent elective one- or two-level ACDF with a prior diagnosis of EDS, all selected using ICD-9 and ICD-10 codes from 2010 to 2020 (Table 1).",,84,elderly (75+),years,female,True,False,False,False,False,,,joint_hypermobility; skin_hyperextensibility,hypermobile EDS,rule_based_v3,2026-04-16T20:47:59.862752,hEDS_HSD,True,False,False
PMC11188875,10.14309/crj.0000000000001393,Esophageal Striae as a Possible Gastrointestinal Manifestation of Hypermobile Ehlers-Danlos Syndrome.,ACG Case Rep J,2024 Jun,2024,post-2017 (2017 international classification),case_report,True,,1,27,,"3,4A 27-year old woman presented with slowly progressive dysphagia.",,27,young adult (18-29),years,female,True,True,False,False,False,,,joint_hypermobility; tachycardia; skin_hyperextensibility; gi_symptoms; headache_migraine; brain_fog,hypermobile EDS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:00.047676,EDS_mentioned_but_excluded,False,False,True
PMC11095771,10.1371/journal.pone.0302401,Management of childbearing with hypermobile Ehlers-Danlos syndrome and hypermobility spectrum disorders: A scoping review and expert co-creation of evidence-based clinical guidelines.,PLoS One,2024,2024,post-2017 (2017 international classification),clinical_study,True,,1,22,neonate,"Articles were included if they reported primary research findings in relation to childbearing with hEDS/HSD, including case reports.",0-28 days,22,young adult (18-29),years,female,True,True,True,False,True,2017 international classification,,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; tachycardia; syncope; flushing; urticaria; anaphylaxis; skin_hyperextensibility; fatigue; gi_symptoms; headache_migraine; neuropathy; chiari; brain_fog; mitral_valve_prolapse; palpitations,hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome; dysautonomia; MCAS; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:00.786234,hEDS_HSD,True,False,False
PMC11058070,10.1016/j.artd.2024.101390,Increased Opioid Use in Patients With Ehlers-Danlos Syndrome Before and After Total Hip Arthroplasty.,Arthroplast Today,2024 Jun,2024,post-2017 (2017 international classification),clinical_study,True,,688,,,,,,,years,,True,True,False,False,False,,,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; skin_hyperextensibility,hypermobile EDS; HSD; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:01.005404,EDS_mentioned_but_excluded,False,False,True
PMC11010766,10.1177/03000605241242582,Temporomandibular disorders among Ehlers-Danlos syndromes: a narrative review.,J Int Med Res,2024 Apr,2024,post-2017 (2017 international classification),clinical_study,True,,17,33,,"1
 The prevalence of GJH ranges from 12% to 28% in the general population, depending on age and sex, with children and women more commonly affected.",,33,adult (30-44),years,female,True,False,False,False,False,Beighton,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; headache_migraine,hEDS; hypermobile EDS; JHS; HSD,rule_based_v3,2026-04-16T20:48:01.108599,hEDS_HSD,True,False,False
PMC10917428,10.1159/000537705,A Possible Newly Defined and Treatable Secondary Cause of Early Morning Wake-Up Headaches in an Older Hypermobile Woman: Nutcracker Physiology with Spinal Epidural Venous Congestion.,Case Rep Neurol,2024 Jan-Dec,2024,post-2017 (2017 international classification),review_or_study,True,,1,61,,Case ReportA 61-year-old woman with a history of hypermobile Ehlers-Danlos syndrome began to be awakened with severe head pain at midnight at least several times per week.,,61,older adult (60-74),years,female,True,False,False,False,False,2017 international classification,,chronic_pain; gi_symptoms; headache_migraine,hEDS; hypermobile EDS; HSD,rule_based_v3,2026-04-16T20:48:01.248521,hEDS_HSD,True,False,False
PMC10784750,10.1002/ccr3.8431,Systemic pain relief after omalizumab injection in patient with hypermobile Ehlers-Danlos syndrome: A case report.,Clin Case Rep,2024 Jan,2024,post-2017 (2017 international classification),case_report,True,,1,33,,,,33,adult (30-44),years,,True,True,True,False,True,,,,hEDS; hypermobile EDS,rule_based_v3,2026-04-16T20:48:01.272342,hEDS_HSD,True,False,False
PMC11775448,10.3389/fneur.2024.1515486,Oral medications for the treatment of postural orthostatic tachycardia syndrome; a systematic review of studies before and during the COVID-19 pandemic.,Front Neurol,2024,2024,post-2017 (2017 international classification),animal_study,True,,1,,child,"Traditionally it is seen most frequently in women, with onset most often occurring from adolescence through childbearing age (5).",3-12 years,7.5,childhood (5-11),years,female,False,True,False,False,False,,,orthostatic_intolerance; tachycardia; syncope; fatigue; palpitations; medication_sensitivity,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:16.257849,,False,False,False
PMC11646465,10.2147/JMDH.S495088,Exercise Interventions in the Management of Postural Orthostatic Tachycardia Syndrome: A Scoping Review.,J Multidiscip Healthc,2024,2024,post-2017 (2017 international classification),clinical_study,True,,1,34,,"3Non-randomized clinical trialRichardson et al, 201725Using an exercise program to improve activity tolerance in a female with postural orthostatictachycardia syndrome: A case reportUSA1 female with POTS exacerbationOne 34-year-old femaleCase reportGeorge et al, 201613The international POTS registry...",,34,adult (30-44),years,female,False,True,False,False,False,MCAS consensus criteria,,joint_hypermobility; chronic_pain; orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:16.319938,,False,False,False
PMC11608111,10.7759/cureus.72765,Conservative Management of Cervicogenic Dizziness Associated With Upper Cervical Instability and Postural Orthostatic Tachycardia Syndrome: A Case Report.,Cureus,2024 Oct,2024,post-2017 (2017 international classification),review_or_study,True,,1,27,,"We present a case of a 27-year-old woman with a six-year history of dizziness, neck and cervicothoracic pain, and occipital-temporal-orbital headaches.",,27,young adult (18-29),years,female,True,True,False,False,False,,,joint_hypermobility; chronic_pain; tachycardia; syncope; gi_symptoms; headache_migraine; palpitations,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:16.341655,EDS_unspecified,True,False,False
PMC11565627,10.7759/cureus.71606,A Case of Post-malarial Postural Orthostatic Tachycardia Syndrome in a Young Woman of South Asian Origin.,Cureus,2024 Oct,2024,post-2017 (2017 international classification),animal_study,True,,1,25,,Case presentationFirst hospital visit (at age 25)A 25-year-old right-handed female medical student presented at a multispecialty hospital in southern India with a history of recurrent attacks of palpitations associated with giddiness and syncope.,,25,young adult (18-29),years,male,True,True,True,False,False,MCAS consensus criteria,,orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; neuropathy; mitral_valve_prolapse; palpitations; medication_sensitivity,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:16.384256,EDS_mentioned_but_excluded,False,False,True
PMC11562304,10.1186/s12872-024-04315-x,Postural orthostatic tachycardia syndrome after COVID-19 vaccination: A systematic review.,BMC Cardiovasc Disord,2024 Nov 13,2024,post-2017 (2017 international classification),clinical_study,True,,45,13,,"It is defined as an autonomic disorder characterized by a significant increase in heart rate (≥ 30 beats per minute in adults and ≥ 40 beats per minute in adolescents) within 10 min of standing, accompanied by symptoms such as dizziness, palpitations, fatigue, and syncope, without substantial change...",,13,adolescent (12-17),years,female,False,True,False,False,False,,,orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; neuropathy; palpitations,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:16.473094,,False,False,False
PMC11440135,10.1016/j.hrcr.2024.06.003,Postural orthostatic tachycardia syndrome after radiofrequency catheter ablation in the atrioventricular junction-An uncommon and often unrecognized complication.,HeartRhythm Case Rep,2024 Sep,2024,post-2017 (2017 international classification),case_report,True,,6,43,,Case reportA 43-year-old female patient presented to the hospital with a 2-week history of rapid palpitations associated with mild light-headedness while standing up.,,43,adult (30-44),years,female,False,True,False,False,False,,,orthostatic_intolerance; tachycardia; gi_symptoms; neuropathy; palpitations,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:16.484956,,False,False,False
PMC11276651,10.3390/ijms25147778,Stress-Related Chronic Fatigue Syndrome: A Case Report with a Positive Response to Alpha-Methyl-P-Tyrosine (AMPT) Treatment.,Int J Mol Sci,2024 Jul 16,2024,post-2017 (2017 international classification),case_report,True,,1,29,,"Diagnostic TimelineA 29-year-old male presented at the hospital in 2012, reporting severe fatigue and a history of exhaustion from 2008 to 2012, necessitating intermittent daytime naps.",,29,young adult (18-29),years,male,False,True,False,False,False,,,tachycardia; fatigue; headache_migraine; brain_fog,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:16.599065,,False,False,False
PMC11050777,10.3390/jcm13082405,The Role of Heparin in Postural Orthostatic Tachycardia Syndrome and Other Post-Acute Sequelae of COVID-19.,J Clin Med,2024 Apr 20,2024,post-2017 (2017 international classification),animal_study,True,,19,,,,,,,years,,False,True,False,False,False,,,orthostatic_intolerance; tachycardia,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:16.962520,,False,False,False
PMC11051445,10.3390/jpm14040435,Autoimmunity in Syndromes of Orthostatic Intolerance: An Updated Review.,J Pers Med,2024 Apr 20,2024,post-2017 (2017 international classification),animal_study,True,,14,,,"POTS primarily affects women of childbearing age [5,6].",,,,years,female,False,True,True,False,False,,,orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; neuropathy; palpitations,POTS; postural tachycardia syndrome; dysautonomia; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:17.219688,,False,False,False
PMC10990027,10.1097/HJH.0000000000003669,Complete remission with histamine blocker in a patient with intractable hyperadrenergic postural orthostatic tachycardia syndrome secondary to long coronavirus disease syndrome.,J Hypertens,2024 May 1,2024,post-2017 (2017 international classification),case_report,True,,1,26,,"CASE PRESENTATIONA previously healthy 26-year-old man was studied following 1 year of symptoms characterized by palpitations, presyncope, fatigue, postural dizziness, and brain fog, which began in March 2022, 2 months after recovery from mild COVID-19.",,26,young adult (18-29),years,male,False,True,True,False,False,,,orthostatic_intolerance; tachycardia; syncope; urticaria; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog; palpitations,POTS; postural tachycardia syndrome; dysautonomia; MCAS; MCAD; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:17.237320,,False,False,False
PMC10981078,10.7759/cureus.55205,"Myocarditis, Coagulopathy, and Small Fibre, Sensory, and Multiple Cranial Nerve Neuropathy Complicating BNT162b2 Vaccination: A Case Report.",Cureus,2024 Feb,2024,post-2017 (2017 international classification),case_report,True,,1,51,,"The patient is a 51-year-old woman with chronic myopericarditis, coagulopathy due to factor-VIII increase and protein-S deficiency, GBS, and a number of other ocular, dermatological, immunological, and central nervous system abnormalities related to the second dose of the BNT172b2 vaccine.",,51,middle aged (45-59),years,female,False,True,False,False,False,,,orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog; mitral_valve_prolapse; palpitations,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:17.291291,,False,False,False
PMC10849078,10.1093/ehjcr/ytae029,Radiofrequency venous ablation for symptomatic relief in postural orthostatic tachycardia syndrome: a case series.,Eur Heart J Case Rep,2024 Feb,2024,post-2017 (2017 international classification),review_or_study,True,,3,37,,"Case 1A 37-year-old woman with a history of chronic Lyme disease, portal and superficial vein thrombosis, and Lupus presented to our clinic 5 years after her initial POTS diagnosis.",,37,adult (30-44),years,female,False,True,False,False,False,,,chronic_pain; orthostatic_intolerance; tachycardia; syncope; fatigue; gi_symptoms; brain_fog; palpitations,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:17.326609,,False,False,False
PMC10767774,10.4274/balkanmedj.galenos.2023.2023-10-25,"""When,"" ""Where,"" and ""How"" of SARS-CoV-2 Infection Affects the Human Cardiovascular System: A Narrative Review.",Balkan Med J,2024 Jan 3,2024,post-2017 (2017 international classification),clinical_study,True,,19,12,,"In this narrative review, we describe and elucidate when, where, and how COVID-19 affects the human cardiovascular system in various parts of the human body that are vulnerable in every patient category, including children and athletes.",,12,adolescent (12-17),years,female,False,True,False,False,False,,,chronic_pain; orthostatic_intolerance; tachycardia; syncope; anaphylaxis; fatigue; gi_symptoms; neuropathy; palpitations,POTS; postural tachycardia syndrome; dysautonomia,rule_based_v3,2026-04-16T20:48:17.470690,,False,False,False
PMC10199303,10.1007/s10557-023-07465-w,Acute and Post-Acute COVID-19 Cardiovascular Complications: A Comprehensive Review.,Cardiovasc Drugs Ther,2024 Oct,2024,post-2017 (2017 international classification),clinical_study,True,,19,,,,,,,years,female,False,True,False,False,False,,,tachycardia; fatigue; gi_symptoms; headache_migraine; palpitations,POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:19.747042,,False,False,False
PMC11651727,10.1155/crnm/2503963,Unveiling the Uncommon: A Case Report of Horner's Syndrome as a Rare Glimpse Into Giant Cell Arteritis.,Case Rep Neurol Med,2024,2024,post-2017 (2017 international classification),case_report,True,,29,82,,"This case report discusses an 82-year-old female with hypertension, atrial fibrillation, and arthritis who presented with a 24 h history of right eye ptosis, blurred vision, dizziness, and aching eye pain.",,82,elderly (75+),years,female,False,False,True,False,False,,,headache_migraine,MCAS,rule_based_v3,2026-04-16T20:48:29.344413,,False,False,False
PMC11470813,10.7759/cureus.69285,Non-aneurysmal Subarachnoid Hemorrhage Due to an Aplastic or Twig-Like Middle Cerebral Artery Diagnosed by Cone Beam CT and M1 Selective Angiography: A Case Report.,Cureus,2024 Sep,2024,post-2017 (2017 international classification),clinical_study,True,,82,38,,A 38-year-old female patient experienced a sudden severe headache and was admitted to our hospital.,,38,adult (30-44),years,female,False,False,True,False,False,,,gi_symptoms; headache_migraine,MCAS,rule_based_v3,2026-04-16T20:48:29.493522,,False,False,False
PMC11187405,10.1002/jgh3.13102,Comparison of the effects of abdominal massage and osteopathic manipulative treatment home program on constipation in children with cerebral palsy.,JGH Open,2024 Jun,2024,post-2017 (2017 international classification),clinical_study,True,,30,12,,MethodsTwenty-nine children with CP with a mean age of 12.,,12,adolescent (12-17),years,,False,False,True,False,False,,,gi_symptoms,MCAS,rule_based_v3,2026-04-16T20:48:30.245830,,False,False,False
PMC11177828,10.14309/crj.0000000000001383,"Imatinib and Trigger Avoidance for Mast Cell Activation Syndrome Presenting With Attacks of Abdominal Pain, Nausea, Vomiting, and Diarrhea.",ACG Case Rep J,2024 Jun,2024,post-2017 (2017 international classification),clinical_study,True,,89,53,,A 53-year-old paint salesman suffered severe attacks of these symptoms for the 3 decades of his career.,,53,middle aged (45-59),years,male,False,False,True,True,False,,,flushing; urticaria; anaphylaxis; fatigue; gi_symptoms; headache_migraine,MCAS; MCAD; mast cell activation syndrome; mastocytosis,rule_based_v3,2026-04-16T20:48:30.265625,,False,False,False
PMC11090565,10.25259/JNRP_26_2024,Sequential mechanical thrombectomies in acute bilateral middle cerebral artery strokes: A case report and review of literature.,J Neurosci Rural Pract,2024 Apr-Jun,2024,post-2017 (2017 international classification),review_or_study,True,,1,47,,"Herein, we report a case of 47-year-old female having rheumatic heart disease presented with simultaneous bilateral MCAs occlusion, treated with mechanical thrombectomies successfully.",,47,middle aged (45-59),years,female,False,False,True,False,False,,,,MCAS,rule_based_v3,2026-04-16T20:48:30.317988,,False,False,False
PMC10814166,10.3390/diagnostics14020123,Challenges in Drug and Hymenoptera Venom Hypersensitivity Diagnosis and Management in Mastocytosis.,Diagnostics (Basel),2024 Jan 5,2024,post-2017 (2017 international classification),clinical_study,True,,388,46,,A case report describes a 46-year-old female with systemic mastocytosis without cutaneous involvement that had two anaphylactic episodes triggered by ciprofloxacin.,,46,middle aged (45-59),years,female,False,False,True,True,False,MCAS consensus criteria,,syncope; flushing; urticaria; anaphylaxis; gi_symptoms; headache_migraine; brain_fog; medication_sensitivity,MCAD; mast cell activation syndrome; mastocytosis,rule_based_v3,2026-04-16T20:48:31.171951,,False,False,False
PMC10803124,10.7573/dic.2023-9-5,"How to handle off-label prescriptions of rupatadine, a second-generation antihistamine and PAF antagonist: a review.",Drugs Context,2024,2024,post-2017 (2017 international classification),review_or_study,True,,15,17,,"16 Rupatadine is a valid therapeutic option for these ages due to its development and approved clinical efficacy studies in children over 2 years of age17,18 following current recommendations in paediatric guidelines.",,17,adolescent (12-17),years,,False,False,True,True,False,,,tachycardia; flushing; urticaria; headache_migraine,MCAD; mastocytosis,rule_based_v3,2026-04-16T20:48:31.242822,,False,False,False
PMC11809041,10.3389/fneur.2024.1484504,Comorbidities and neurosurgical interventions in a cohort with connective tissue disorders.,Front Neurol,2024,2024,post-2017 (2017 international classification),clinical_study,True,,1,,,,,,,years,female,True,True,True,False,True,2017 international classification; Beighton,2,joint_hypermobility; tachycardia; fatigue; gi_symptoms; neuropathy; chiari,hEDS; hypermobile EDS; JHS; POTS; postural tachycardia syndrome; dysautonomia; MCAD,rule_based_v3,2026-04-16T20:48:48.818233,hEDS_HSD,True,False,False
PMC11033372,10.3389/fimmu.2024.1369295,"Longitudinal cytokine and multi-modal health data of an extremely severe ME/CFS patient with HSD reveals insights into immunopathology, and disease severity.",Front Immunol,2024,2024,post-2017 (2017 international classification),review_or_study,True,,1,21,,The patient began experiencing health issues at age 21 and received a diagnosis of ME/CFS almost a decade later.,,21,young adult (18-29),years,male,True,True,True,False,True,,,chronic_pain; orthostatic_intolerance; tachycardia; anaphylaxis; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog; medication_sensitivity,EDS type III; hEDS; HSD; POTS; postural tachycardia syndrome; MCAS; MCAD; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:48.970774,hEDS_HSD,True,False,False
PMC10584354,10.7759/cureus.45486,Anesthetic Management of an Obstetric Patient With Ehlers-Danlos and Wolff-Parkinson-White Syndromes.,Cureus,2023 Sep,2023,post-2017 (2017 international classification),case_report,True,,1,31,,"A 31-year-old, primigravida, nullipara (G1P0) female with a past medical history of Ehlers-Danlos Syndrome (EDS), newly diagnosed Wolff-Parkinson-White Syndrome (WPW), and fetal breech presentation initially presented at 36+5 weeks gestation for an external cephalic version (ECV).",,31,adult (30-44),years,female,True,True,False,False,False,,,joint_hypermobility; subluxations_dislocations; tachycardia; syncope; palpitations; medication_sensitivity,postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:01.576736,vascular_EDS,False,True,False
PMC10513349,10.7759/cureus.45713,The Analgesic Mismanagement of a Patient With Ehlers-Danlos Syndrome (Hypermobility Variant): A Case Report.,Cureus,2023 Sep,2023,post-2017 (2017 international classification),review_or_study,True,,1,67,,"A 67-year-old female with Ehlers-Danlos syndrome hypermobility type (EDS-HT), osteoarthritis (OA), and anxiety received opioid-based pain management for a decade before changing her primary care physician.",,67,older adult (60-74),years,female,True,False,False,False,False,Beighton,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; gi_symptoms; neuropathy; brain_fog,EDS hypermobility type; hEDS; hypermobile EDS; JHS,rule_based_v3,2026-04-16T20:48:01.624001,hEDS_HSD,True,False,False
PMC10510186,10.1186/s13023-023-02877-1,"Prevalence and quality of temporomandibular disorders, chronic pain and psychological distress in patients with classical and hypermobile Ehlers-Danlos syndrome: an exploratory study.",Orphanet J Rare Dis,2023 Sep 19,2023,post-2017 (2017 international classification),clinical_study,True,,1,1,,ParticipantsParticipation was open to individuals over 18 years of age affected by EDS.,,1,early childhood (1-4),years,female,True,False,False,False,False,,,joint_hypermobility; subluxations_dislocations; chronic_pain; skin_hyperextensibility; neuropathy,hEDS; hypermobile EDS; HSD,rule_based_v3,2026-04-16T20:48:01.660666,hEDS_HSD,True,False,False
PMC10488471,10.3390/jcm12175702,Primary Hemostasis Disorders as a Cause of Heavy Menstrual Bleeding in Women of Reproductive Age.,J Clin Med,2023 Sep 1,2023,post-2017 (2017 international classification),clinical_study,True,,1100,50,,"Alternatively, it has been proposed that the Beighton score should be considered positive (a) ≥6/9 in prepubertal children and adolescents, (b) ≥5/9 from puberty to 50 years of age and (c) ≥4/9 in people older than 50 years.",,50,middle aged (45-59),years,female,True,False,False,False,False,2017 international classification; Brighton; Beighton,4,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; skin_hyperextensibility; easy_bruising; fatigue; gi_symptoms; headache_migraine,EDS hypermobility type; hEDS; hypermobile EDS; JHS; HSD,rule_based_v3,2026-04-16T20:48:01.905797,hEDS_HSD,True,False,False
PMC10472575,10.1186/s13023-023-02799-y,Psychological interventions for individuals with Ehlers-Danlos syndrome and hypermobility spectrum disorder: a scoping review.,Orphanet J Rare Dis,2023 Aug 31,2023,post-2017 (2017 international classification),clinical_study,True,,106,6,,"In a qualitative study of adults with EDS, it was revealed that many had shown symptoms as children that were overlooked and misdiagnosed by their families and healthcare professionals [16].",,6,childhood (5-11),years,female,True,True,False,False,False,Villefranche; Beighton,4,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; skin_hyperextensibility; fatigue; gi_symptoms; headache_migraine; neuropathy; brain_fog,EDS type III; EDS hypermobility type; hEDS; hypermobile EDS; JHS; HSD; POTS; postural tachycardia syndrome,rule_based_v3,2026-04-16T20:48:02.030825,hEDS_HSD,True,False,False
PMC10473008,10.1111/jvim.16805,Precision medicine using whole genome sequencing in a cat identifies a novel COL5A1 variant for classical Ehlers-Danlos syndrome.,J Vet Intern Med,2023 Sep-Oct,2023,post-2017 (2017 international classification),animal_study,True,,1,4,,"16

Herein the clinical, histopathological, ultrastructural, and genetic findings of a 4-year-old male castrated domestic medium hair cat presented with clinical signs consistent with cEDS are reported.",,4,early childhood (1-4),years,male,True,True,True,False,True,,,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; skin_hyperextensibility; easy_bruising; gi_symptoms; neuropathy; chiari; mitral_valve_prolapse,JHS; postural tachycardia syndrome; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:02.053547,hEDS_HSD,True,False,False
PMC10368949,10.3389/fcvm.2023.1171541,Therapeutic difficulties in a patient with Ehlers-Danlos syndrome and numerous symptomatic premature ventricular contractions-case report and literature review.,Front Cardiovasc Med,2023,2023,post-2017 (2017 international classification),case_report,True,,28,28,,"A 28-year-old female patient diagnosed with Ehlers-Danlos syndrome type III (hypermobile EDS, hEDS) was admitted to the cardiology clinic due to a 3-year history of symptomatic ventricular arrhythmia in the form of multiple premature ventricular contractions (PVCs).",,28,young adult (18-29),years,female,True,False,False,False,False,2017 international classification,,joint_hypermobility; subluxations_dislocations; chronic_pain; orthostatic_intolerance; tachycardia; syncope; skin_hyperextensibility; mitral_valve_prolapse; palpitations,EDS type III; hEDS; hypermobile EDS; JHS; dysautonomia,rule_based_v3,2026-04-16T20:48:02.233915,hEDS_HSD,True,False,False
PMC10369693,10.1186/s13023-023-02829-9,"Perioperative opioid-minimization approach as a useful protocol in the management of patients with Ehlers-Danlos syndrome-hypermobility type, craniocervical instability and severe chronic pain who are to undergo occipito-cervical fixation.",Orphanet J Rare Dis,2023 Jul 25,2023,post-2017 (2017 international classification),clinical_study,True,,42,,,"Moreover, there has also been evidence that haloperidol prophylaxis may be effective in the reduction of ketamine-induced emergence delirium in children [42].",,,,years,,True,True,True,False,True,2017 international classification,,joint_hypermobility; subluxations_dislocations; chronic_pain; tachycardia; fatigue; gi_symptoms; headache_migraine; neuropathy; chiari,EDS type III; EDS hypermobility type; hEDS; hypermobile EDS; JHS; POTS; postural tachycardia syndrome; dysautonomia; MCAS; mast cell activation syndrome,rule_based_v3,2026-04-16T20:48:03.080141,hEDS_HSD,True,False,False
